node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	TP53	9606.ENSP00000349960	9606.ENSP00000269305	0	0	0	0	0.061	0.101	0	0.68	0.706
ACTB	EGFR	9606.ENSP00000349960	9606.ENSP00000275493	0	0	0	0	0	0.379	0	0.575	0.725
ACTB	TUBA1A	9606.ENSP00000349960	9606.ENSP00000301071	0	0	0	0	0.166	0.206	0.9	0.506	0.962
ACTB	CASP3	9606.ENSP00000349960	9606.ENSP00000311032	0	0	0	0	0.061	0.108	0.8	0.702	0.943
ACTB	ARID1A	9606.ENSP00000349960	9606.ENSP00000320485	0	0	0	0	0.061	0.112	0.9	0.17	0.921
ACTB	CAV1	9606.ENSP00000349960	9606.ENSP00000339191	0	0	0	0	0.051	0.389	0	0.604	0.751
ACTB	MYH11	9606.ENSP00000349960	9606.ENSP00000379616	0	0	0	0	0.066	0.568	0	0.39	0.732
ACTB	MYC	9606.ENSP00000349960	9606.ENSP00000479618	0	0	0	0	0.072	0.358	0	0.68	0.793
ACTB	YWHAZ	9606.ENSP00000349960	9606.ENSP00000379287	0	0	0	0	0.266	0.169	0	0.7	0.801
ACTB	ITGB1	9606.ENSP00000349960	9606.ENSP00000379350	0	0	0	0	0.062	0.186	0.6	0.429	0.802
ACTB	PRKCA	9606.ENSP00000349960	9606.ENSP00000408695	0	0	0	0	0.061	0	0.8	0.243	0.845
ACTB	CASP7	9606.ENSP00000349960	9606.ENSP00000358327	0	0	0	0	0.049	0.108	0.8	0.335	0.872
ACTB	AKT1	9606.ENSP00000349960	9606.ENSP00000451828	0	0	0	0	0.061	0.382	0	0.8	0.874
ADAR	IRF1	9606.ENSP00000357459	9606.ENSP00000245414	0	0	0	0	0.075	0	0.9	0.334	0.933
AKT1	MMP2	9606.ENSP00000451828	9606.ENSP00000219070	0	0	0	0	0.061	0	0	0.833	0.836
AKT1	TSC2	9606.ENSP00000451828	9606.ENSP00000219476	0	0	0	0	0.062	0.472	0.9	0.974	0.998
AKT1	GSK3A	9606.ENSP00000451828	9606.ENSP00000222330	0	0	0	0.578	0.08	0.575	0.9	0.619	0.968
AKT1	SERPINE1	9606.ENSP00000451828	9606.ENSP00000223095	0	0	0	0	0	0	0	0.761	0.761
AKT1	RPS6KB1	9606.ENSP00000451828	9606.ENSP00000225577	0	0	0.383	0.856	0.183	0.892	0.9	0.971	0.992
AKT1	CCND1	9606.ENSP00000451828	9606.ENSP00000227507	0	0	0	0	0.061	0	0	0.941	0.943
AKT1	CDKN1B	9606.ENSP00000451828	9606.ENSP00000228872	0	0	0	0	0	0.709	0.9	0.872	0.995
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0	0.303	0.623	0.082	0.715	0.6	0.858	0.931
AKT1	TWIST1	9606.ENSP00000451828	9606.ENSP00000242261	0	0	0	0	0	0	0	0.78	0.78
AKT1	SNAI1	9606.ENSP00000451828	9606.ENSP00000244050	0	0	0	0	0	0.388	0	0.848	0.903
AKT1	RAF1	9606.ENSP00000451828	9606.ENSP00000251849	0	0	0	0.581	0	0.695	0.9	0.879	0.979
AKT1	CCNB1	9606.ENSP00000451828	9606.ENSP00000256442	0	0	0	0	0	0.138	0	0.804	0.824
AKT1	POU5F1	9606.ENSP00000451828	9606.ENSP00000259915	0	0	0	0	0	0	0	0.844	0.844
AKT1	CDH1	9606.ENSP00000451828	9606.ENSP00000261769	0	0	0	0	0	0.127	0	0.894	0.904
AKT1	RHEB	9606.ENSP00000451828	9606.ENSP00000262187	0	0	0	0	0.053	0.16	0.9	0.838	0.985
AKT1	CCNE1	9606.ENSP00000451828	9606.ENSP00000262643	0	0	0	0	0	0.209	0	0.706	0.757
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0.323	0.586	0.064	0.146	0.8	0.946	0.907
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.063	0.468	0.9	0.978	0.998
AKT1	STAT3	9606.ENSP00000451828	9606.ENSP00000264657	0	0	0	0	0	0.124	0.9	0.938	0.994
AKT1	ERBB3	9606.ENSP00000451828	9606.ENSP00000267101	0	0	0	0	0	0.349	0.9	0.898	0.992
AKT1	RB1	9606.ENSP00000451828	9606.ENSP00000267163	0	0	0	0	0	0.08	0.9	0.558	0.955
AKT1	PXN	9606.ENSP00000451828	9606.ENSP00000267257	0	0	0	0	0.082	0.11	0	0.727	0.757
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.054	0.147	0.9	0.941	0.994
AKT1	ERBB2	9606.ENSP00000451828	9606.ENSP00000269571	0	0	0	0.556	0.053	0.543	0	0.943	0.737
AKT1	SOD1	9606.ENSP00000451828	9606.ENSP00000270142	0	0	0	0	0	0.064	0.9	0.64	0.963
AKT1	NOTCH1	9606.ENSP00000451828	9606.ENSP00000277541	0	0	0	0	0.077	0.438	0	0.874	0.929
AKT1	PAK1	9606.ENSP00000451828	9606.ENSP00000278568	0	0	0.386	0.646	0.063	0.723	0.9	0.622	0.98
AKT1	ATM	9606.ENSP00000451828	9606.ENSP00000278616	0	0	0	0	0	0	0	0.814	0.814
AKT1	PDCD4	9606.ENSP00000451828	9606.ENSP00000280154	0	0	0	0	0	0	0	0.771	0.771
AKT1	GJA1	9606.ENSP00000451828	9606.ENSP00000282561	0	0	0	0	0	0.053	0	0.815	0.818
AKT1	KIT	9606.ENSP00000451828	9606.ENSP00000288135	0	0	0	0	0	0.096	0	0.828	0.838
AKT1	PIK3CB	9606.ENSP00000451828	9606.ENSP00000289153	0	0	0	0	0.063	0.464	0.9	0.761	0.986
AKT1	HK2	9606.ENSP00000451828	9606.ENSP00000290573	0	0	0	0	0	0	0	0.803	0.803
AKT1	BAX	9606.ENSP00000451828	9606.ENSP00000293288	0	0	0	0	0.061	0.379	0	0.581	0.734
AKT1	RICTOR	9606.ENSP00000451828	9606.ENSP00000296782	0	0	0	0	0.062	0.734	0.9	0.933	0.998
AKT1	TSC1	9606.ENSP00000451828	9606.ENSP00000298552	0	0	0	0	0.057	0.429	0.9	0.808	0.988
AKT1	BCL2L1	9606.ENSP00000451828	9606.ENSP00000302564	0	0	0	0	0.073	0.32	0.9	0.902	0.993
AKT1	FASN	9606.ENSP00000451828	9606.ENSP00000304592	0	0	0	0	0.088	0.065	0	0.74	0.759
AKT1	IRS1	9606.ENSP00000451828	9606.ENSP00000304895	0	0	0	0	0.061	0.454	0	0.967	0.981
AKT1	RPTOR	9606.ENSP00000451828	9606.ENSP00000307272	0	0	0	0	0.1	0.336	0.9	0.866	0.99
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0.055	0.393	0	0.95	0.969
AKT1	CDC25C	9606.ENSP00000451828	9606.ENSP00000321656	0	0	0	0	0.063	0.084	0	0.725	0.744
AKT1	SOX2	9606.ENSP00000451828	9606.ENSP00000323588	0	0	0	0	0	0.299	0	0.813	0.863
AKT1	HSPA5	9606.ENSP00000451828	9606.ENSP00000324173	0	0	0	0	0	0.417	0	0.81	0.884
AKT1	SMAD3	9606.ENSP00000451828	9606.ENSP00000332973	0	0	0	0	0.062	0.542	0	0.877	0.943
AKT1	LCK	9606.ENSP00000451828	9606.ENSP00000337825	0	0	0.371	0.558	0.05	0	0.9	0.641	0.939
AKT1	CAV1	9606.ENSP00000451828	9606.ENSP00000339191	0	0	0	0	0	0.057	0.9	0.815	0.981
AKT1	EIF4EBP1	9606.ENSP00000451828	9606.ENSP00000340691	0	0	0	0	0.05	0.528	0.9	0.922	0.996
AKT1	MAPT	9606.ENSP00000451828	9606.ENSP00000340820	0	0	0	0	0	0.336	0	0.717	0.804
AKT1	STAT5A	9606.ENSP00000451828	9606.ENSP00000341208	0	0	0	0	0.06	0.124	0	0.855	0.871
AKT1	SMAD4	9606.ENSP00000451828	9606.ENSP00000341551	0	0	0	0	0.061	0.705	0	0.735	0.92
AKT1	FOXM1	9606.ENSP00000451828	9606.ENSP00000342307	0	0	0	0	0.059	0.099	0	0.772	0.79
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0	0.26	0.751	0.066	0.996	0.9	0.933	0.999
AKT1	CTNNB1	9606.ENSP00000451828	9606.ENSP00000344456	0	0	0	0	0.083	0.444	0.9	0.959	0.997
AKT1	NF2	9606.ENSP00000451828	9606.ENSP00000344666	0	0	0	0	0.046	0.393	0	0.805	0.877
AKT1	E2F1	9606.ENSP00000451828	9606.ENSP00000345571	0	0	0	0	0.091	0.124	0.9	0.481	0.953
AKT1	CASP8	9606.ENSP00000451828	9606.ENSP00000351273	0	0	0	0	0	0.064	0	0.74	0.746
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0.08	0.872	0.9	0.972	0.999
AKT1	GAB2	9606.ENSP00000451828	9606.ENSP00000354952	0	0	0	0	0.065	0.305	0.9	0.743	0.981
AKT1	BECN1	9606.ENSP00000451828	9606.ENSP00000355231	0	0	0	0	0	0.31	0	0.908	0.934
AKT1	PARP1	9606.ENSP00000451828	9606.ENSP00000355759	0	0	0	0	0.061	0.057	0	0.783	0.791
AKT1	PEA15	9606.ENSP00000451828	9606.ENSP00000357055	0	0	0	0	0	0.393	0	0.678	0.797
AKT1	MCL1	9606.ENSP00000451828	9606.ENSP00000358022	0	0	0	0	0	0	0	0.849	0.85
AKT1	NRAS	9606.ENSP00000451828	9606.ENSP00000358548	0	0	0	0	0	0.211	0	0.722	0.771
AKT1	PREX1	9606.ENSP00000451828	9606.ENSP00000361009	0	0	0	0	0	0.336	0	0.737	0.818
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0	0	0	0.06	0.472	0	0.981	0.99
AKT1	YWHAB	9606.ENSP00000451828	9606.ENSP00000361930	0	0	0	0	0.093	0.189	0.9	0.393	0.949
AKT1	SRC	9606.ENSP00000451828	9606.ENSP00000362680	0	0	0.391	0.562	0.097	0.546	0.9	0.96	0.978
AKT1	AR	9606.ENSP00000451828	9606.ENSP00000363822	0	0	0	0	0	0.407	0	0.89	0.932
AKT1	GATA3	9606.ENSP00000451828	9606.ENSP00000368632	0	0	0	0	0.062	0.129	0	0.687	0.722
AKT1	RPS6	9606.ENSP00000451828	9606.ENSP00000369757	0	0.001	0	0	0	0.079	0	0.848	0.854
AKT1	CD274	9606.ENSP00000451828	9606.ENSP00000370989	0	0	0	0	0	0	0	0.756	0.756
AKT1	AKT1S1	9606.ENSP00000451828	9606.ENSP00000375711	0	0	0	0	0.091	0.379	0.9	0.944	0.996
AKT1	PDK1	9606.ENSP00000451828	9606.ENSP00000376352	0	0	0	0	0.064	0.866	0	0.507	0.933
AKT1	BCL2L11	9606.ENSP00000451828	9606.ENSP00000376943	0	0	0	0	0	0.336	0	0.894	0.926
AKT1	YWHAZ	9606.ENSP00000451828	9606.ENSP00000379287	0	0	0	0	0.061	0.474	0.9	0.5	0.972
AKT1	CDKN1A	9606.ENSP00000451828	9606.ENSP00000384849	0	0	0	0	0	0.696	0.9	0.851	0.995
AKT1	FOXO3	9606.ENSP00000451828	9606.ENSP00000385824	0	0	0	0	0.055	0.796	0.9	0.981	0.999
AKT1	CREB1	9606.ENSP00000451828	9606.ENSP00000387699	0	0	0	0	0.063	0.379	0.9	0.904	0.993
AKT1	DIABLO	9606.ENSP00000451828	9606.ENSP00000398495	0	0	0	0	0	0.081	0	0.734	0.745
AKT1	CD44	9606.ENSP00000451828	9606.ENSP00000398632	0	0	0	0	0	0.153	0	0.702	0.737
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.407	0.9	0.867	0.991
AKT1	PARK7	9606.ENSP00000451828	9606.ENSP00000418770	0	0	0	0	0	0.185	0	0.699	0.745
AKT1	CDKN2A	9606.ENSP00000451828	9606.ENSP00000418915	0	0	0	0	0.061	0.214	0	0.707	0.764
AKT1	EIF4E	9606.ENSP00000451828	9606.ENSP00000425561	0	0	0	0	0	0.064	0	0.777	0.782
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0.062	0.447	0.9	0.835	0.99
AKT1	HIF1A	9606.ENSP00000451828	9606.ENSP00000437955	0	0	0	0	0	0.362	0.9	0.827	0.988
AKT1	SOD2	9606.ENSP00000451828	9606.ENSP00000446252	0	0	0	0	0	0	0.9	0.745	0.973
AKT1	YAP1	9606.ENSP00000451828	9606.ENSP00000478927	0	0	0	0	0.062	0.414	0	0.901	0.941
AKT1	MYC	9606.ENSP00000451828	9606.ENSP00000479618	0	0	0	0	0.052	0.156	0.9	0.915	0.992
AKT1S1	TSC2	9606.ENSP00000375711	9606.ENSP00000219476	0	0	0	0	0.062	0	0	0.798	0.803
AKT1S1	RPS6KB1	9606.ENSP00000375711	9606.ENSP00000225577	0	0	0	0	0.061	0	0.9	0.789	0.978
AKT1S1	RHEB	9606.ENSP00000375711	9606.ENSP00000262187	0	0	0	0	0	0	0.9	0.736	0.972
AKT1S1	RICTOR	9606.ENSP00000375711	9606.ENSP00000296782	0	0	0	0	0	0	0	0.826	0.826
AKT1S1	RPTOR	9606.ENSP00000375711	9606.ENSP00000307272	0	0	0	0	0.064	0.358	0.9	0.925	0.994
AKT1S1	EIF4EBP1	9606.ENSP00000375711	9606.ENSP00000340691	0	0	0	0	0.083	0	0.9	0.804	0.98
AKT1S1	PDPK1	9606.ENSP00000375711	9606.ENSP00000344220	0	0	0	0	0.06	0	0.9	0.446	0.943
AKT1S1	MTOR	9606.ENSP00000375711	9606.ENSP00000354558	0	0	0	0	0.061	0.899	0.9	0.867	0.998
AKT1S1	YWHAB	9606.ENSP00000375711	9606.ENSP00000361930	0	0	0	0	0	0.407	0.9	0.046	0.938
AKT1S1	YWHAZ	9606.ENSP00000375711	9606.ENSP00000379287	0	0	0	0	0	0.358	0.9	0.059	0.934
AKT1S1	EIF4E	9606.ENSP00000375711	9606.ENSP00000425561	0	0	0	0	0	0	0.9	0.671	0.965
ANXA1	PIK3CA	9606.ENSP00000366109	9606.ENSP00000263967	0	0	0	0	0	0	0.9	0.113	0.907
ANXA1	EGFR	9606.ENSP00000366109	9606.ENSP00000275493	0	0	0	0	0.076	0.379	0	0.653	0.783
ANXA1	PIK3R1	9606.ENSP00000366109	9606.ENSP00000428056	0	0	0	0	0	0	0.9	0.105	0.906
ANXA7	PARK7	9606.ENSP00000362010	9606.ENSP00000418770	0	0	0	0	0.084	0.828	0	0.204	0.863
AR	CCND1	9606.ENSP00000363822	9606.ENSP00000227507	0	0	0	0	0.061	0.384	0.9	0.795	0.986
AR	MAPK14	9606.ENSP00000363822	9606.ENSP00000229795	0	0	0	0	0	0.073	0.9	0.462	0.945
AR	CDH1	9606.ENSP00000363822	9606.ENSP00000261769	0	0	0	0	0	0	0	0.781	0.781
AR	BRD4	9606.ENSP00000363822	9606.ENSP00000263377	0	0	0	0	0	0.46	0	0.653	0.805
AR	PIK3CA	9606.ENSP00000363822	9606.ENSP00000263967	0	0	0	0	0	0	0.9	0.473	0.945
AR	STAT3	9606.ENSP00000363822	9606.ENSP00000264657	0	0	0	0	0	0.386	0	0.743	0.836
AR	ERBB3	9606.ENSP00000363822	9606.ENSP00000267101	0	0	0	0	0.062	0.338	0	0.682	0.785
AR	RB1	9606.ENSP00000363822	9606.ENSP00000267163	0	0	0	0	0	0.388	0.9	0.444	0.963
AR	IGF1R	9606.ENSP00000363822	9606.ENSP00000268035	0	0	0	0	0.051	0.085	0	0.77	0.783
AR	TP53	9606.ENSP00000363822	9606.ENSP00000269305	0	0	0	0	0	0.379	0	0.848	0.902
AR	ERBB2	9606.ENSP00000363822	9606.ENSP00000269571	0	0	0	0	0.067	0.077	0	0.829	0.84
AR	HIST1H2BA	9606.ENSP00000363822	9606.ENSP00000274764	0	0	0	0	0	0	0.9	0.501	0.947
AR	EGFR	9606.ENSP00000363822	9606.ENSP00000275493	0	0	0	0	0.062	0.402	0	0.678	0.803
AR	BCL2L1	9606.ENSP00000363822	9606.ENSP00000302564	0	0	0	0	0	0.064	0	0.698	0.706
AR	CASP3	9606.ENSP00000363822	9606.ENSP00000311032	0	0	0	0	0	0.39	0	0.6	0.746
AR	PGR	9606.ENSP00000363822	9606.ENSP00000325120	0	0	0	0.813	0.069	0	0.9	0.904	0.919
AR	SMAD3	9606.ENSP00000363822	9606.ENSP00000332973	0	0	0	0	0	0.393	0.9	0.655	0.977
AR	CAV1	9606.ENSP00000363822	9606.ENSP00000339191	0	0	0	0	0	0.4	0	0.665	0.791
AR	SMAD4	9606.ENSP00000363822	9606.ENSP00000341551	0	0	0	0	0	0.393	0.9	0.4	0.96
AR	CTNNB1	9606.ENSP00000363822	9606.ENSP00000344456	0	0	0	0	0	0.385	0.9	0.775	0.984
AR	CASP8	9606.ENSP00000363822	9606.ENSP00000351273	0	0	0	0	0	0.472	0.9	0.399	0.965
AR	PTEN	9606.ENSP00000363822	9606.ENSP00000361021	0	0	0	0	0	0.393	0	0.882	0.926
AR	CCND3	9606.ENSP00000363822	9606.ENSP00000362082	0	0	0	0	0	0.529	0.9	0.31	0.964
AR	SRC	9606.ENSP00000363822	9606.ENSP00000362680	0	0	0	0	0	0.407	0.9	0.857	0.99
AR	PARK7	9606.ENSP00000363822	9606.ENSP00000418770	0	0	0	0	0	0.379	0	0.625	0.757
AR	FOXO3	9606.ENSP00000363822	9606.ENSP00000385824	0	0	0	0	0	0.356	0	0.668	0.778
AR	CDK1	9606.ENSP00000363822	9606.ENSP00000378699	0	0	0	0	0	0.379	0	0.734	0.827
AR	MYC	9606.ENSP00000363822	9606.ENSP00000479618	0	0	0	0	0	0	0	0.853	0.853
AR	WWTR1	9606.ENSP00000363822	9606.ENSP00000419465	0	0	0	0	0	0.057	0.9	0.118	0.909
AR	YAP1	9606.ENSP00000363822	9606.ENSP00000478927	0	0	0	0	0.069	0.057	0.9	0.201	0.92
AR	PIK3R1	9606.ENSP00000363822	9606.ENSP00000428056	0	0	0	0	0	0.153	0.9	0.517	0.955
AR	HSPA1A	9606.ENSP00000363822	9606.ENSP00000364802	0	0	0	0	0	0.423	0.9	0.61	0.975
ARAF	RAF1	9606.ENSP00000290277	9606.ENSP00000251849	0	0	0	0.96	0.063	0.379	0.9	0.866	0.938
ARAF	MAPK3	9606.ENSP00000290277	9606.ENSP00000263025	0	0	0	0.591	0.064	0.262	0.9	0.709	0.946
ARAF	BRAF	9606.ENSP00000290277	9606.ENSP00000288602	0	0	0	0.955	0	0.53	0.9	0.712	0.952
ARAF	PKM	9606.ENSP00000290277	9606.ENSP00000320171	0	0	0	0	0.062	0.573	0	0.503	0.784
ARAF	PRKCA	9606.ENSP00000290277	9606.ENSP00000408695	0	0	0	0.577	0	0.073	0.8	0.056	0.808
ARAF	YWHAZ	9606.ENSP00000290277	9606.ENSP00000379287	0	0	0	0	0	0.807	0	0.081	0.815
ARAF	ATG7	9606.ENSP00000290277	9606.ENSP00000346437	0	0	0	0	0.063	0.08	0.9	0	0.906
ARAF	KDM7A	9606.ENSP00000290277	9606.ENSP00000380692	0	0	0	0	0	0.095	0.9	0.122	0.913
ARAF	BCL2L11	9606.ENSP00000290277	9606.ENSP00000376943	0	0	0	0	0	0.064	0.9	0.261	0.924
ARAF	SRC	9606.ENSP00000290277	9606.ENSP00000362680	0	0	0	0.646	0	0.161	0.9	0.471	0.926
ARAF	JAK2	9606.ENSP00000290277	9606.ENSP00000371067	0	0	0	0.591	0.055	0.261	0.9	0.186	0.928
ARAF	YWHAB	9606.ENSP00000290277	9606.ENSP00000361930	0	0	0	0	0.042	0.725	0.9	0.112	0.973
ARAF	MAP2K1	9606.ENSP00000290277	9606.ENSP00000302486	0	0	0	0.575	0.083	0.825	0.9	0.869	0.988
ARAF	NRAS	9606.ENSP00000290277	9606.ENSP00000358548	0	0	0	0	0.055	0.838	0.9	0.696	0.994
ARID1A	CCND1	9606.ENSP00000320485	9606.ENSP00000227507	0	0	0	0	0	0	0.9	0.427	0.94
ARID1A	IRF1	9606.ENSP00000320485	9606.ENSP00000245414	0	0	0	0	0	0	0.9	0.056	0.901
ARID1A	PIK3CA	9606.ENSP00000320485	9606.ENSP00000263967	0	0	0	0	0.062	0	0	0.739	0.744
ARID1A	RB1	9606.ENSP00000320485	9606.ENSP00000267163	0	0	0	0	0	0	0.72	0.207	0.768
ARID1A	TP53	9606.ENSP00000320485	9606.ENSP00000269305	0	0	0	0	0.061	0.379	0	0.837	0.897
ARID1A	PGR	9606.ENSP00000320485	9606.ENSP00000325120	0	0	0	0	0	0.393	0	0.593	0.742
ATG3	WIPI1	9606.ENSP00000283290	9606.ENSP00000262139	0	0	0	0	0.064	0.457	0	0.86	0.923
ATG3	WIPI2	9606.ENSP00000283290	9606.ENSP00000288828	0	0	0	0	0.068	0.457	0.9	0.794	0.988
ATG3	BECN1	9606.ENSP00000283290	9606.ENSP00000355231	0	0	0	0	0.189	0.541	0.9	0.935	0.997
ATG3	ATG7	9606.ENSP00000283290	9606.ENSP00000346437	0	0	0	0	0.148	0.897	0.9	0.991	0.999
ATG7	RAF1	9606.ENSP00000346437	9606.ENSP00000251849	0	0	0	0	0.067	0.08	0.9	0.1	0.912
ATG7	WIPI1	9606.ENSP00000346437	9606.ENSP00000262139	0	0	0	0	0.224	0.457	0	0.862	0.937
ATG7	MAPK3	9606.ENSP00000346437	9606.ENSP00000263025	0	0	0	0	0.064	0	0.9	0.417	0.94
ATG7	TP53	9606.ENSP00000346437	9606.ENSP00000269305	0	0	0	0	0	0.379	0	0.726	0.823
ATG7	BRAF	9606.ENSP00000346437	9606.ENSP00000288602	0	0	0	0	0.063	0.08	0.9	0	0.906
ATG7	WIPI2	9606.ENSP00000346437	9606.ENSP00000288828	0	0	0	0	0.243	0.457	0.9	0.793	0.99
ATG7	MAP2K1	9606.ENSP00000346437	9606.ENSP00000302486	0	0	0	0	0.062	0	0.9	0.169	0.915
ATG7	MTOR	9606.ENSP00000346437	9606.ENSP00000354558	0	0	0	0	0.048	0	0	0.758	0.76
ATG7	UBAC1	9606.ENSP00000346437	9606.ENSP00000360821	0	0	0	0	0	0	0.9	0	0.9
ATG7	YWHAB	9606.ENSP00000346437	9606.ENSP00000361930	0	0	0	0	0.071	0.084	0.9	0	0.907
ATG7	KDM7A	9606.ENSP00000346437	9606.ENSP00000380692	0	0	0	0	0.064	0.106	0.9	0	0.909
ATG7	NRAS	9606.ENSP00000346437	9606.ENSP00000358548	0	0	0	0	0.062	0.08	0.9	0.119	0.913
ATG7	JAK2	9606.ENSP00000346437	9606.ENSP00000371067	0	0	0	0	0	0.08	0.9	0.176	0.917
ATG7	SRC	9606.ENSP00000346437	9606.ENSP00000362680	0	0	0	0	0.05	0.08	0.9	0.241	0.924
ATG7	BCL2L11	9606.ENSP00000346437	9606.ENSP00000376943	0	0	0	0	0	0	0.9	0.399	0.937
ATG7	BECN1	9606.ENSP00000346437	9606.ENSP00000355231	0	0	0	0	0.08	0.511	0	0.98	0.99
ATM	ERCC1	9606.ENSP00000278616	9606.ENSP00000013807	0	0	0	0	0	0	0.9	0.815	0.98
ATM	CCND1	9606.ENSP00000278616	9606.ENSP00000227507	0	0	0	0	0	0	0	0.782	0.782
